what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275670105533
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275670105537
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275670105656
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275670175756
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1275670178154
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1275670182823
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275670184225
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1275670185326
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275670200402
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275670277796
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1275670285220
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275670285922
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275670287991
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275670294191
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1275670295804
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1275670296727
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275670311720
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275670354583
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1275670355750
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1275670363251
